title,content,type,aspect
5,Cảm thấy tiki gói hàng okela hơn đó nha:D,0,other
5,Sách mới uy tín chất lượng dịch vụ tốt nha!,0,other
5,"mình vừa nhận được sách , sách được bao bì cẩn thận không xảy ra bất kì vấn đề nào hết . Cảm ơn",0,other
5,"Mua nhầm, sách PDF free r mn ạ",0,other
5,Sách dính keo ở mỗi trang nên khi mình lật qua trang khác thì giấy rất dễ bị rách. Rất mong lần sau shop cẩn thận hơn trong khâu bọc sách. Cảm ơn,0,other
5,"Sách có nội dung dễ hiểu dễ áp dụng nhất trong các loại sách về thói quen,nên mua để tham khảo",0,other
5,"Đoạn giới thiệu khá dài dòng, nội dung chính dịch thuật rất dễ hiểu và dễ nắm bắt được nội dung",0,other
5,"Sách khá hữu ích, khá nhiều ví dụ để có thể dễ nắm được nội dung hơn ( hơi nhiều quá, đọc hơi ấy :v)",0,other
5,Sách được bọc cẩn thận,0,other
5,"Đọc rất cuốn ngay từ trang đầu tiên luôn, lối dẫn dắt thú vị, đọc dễ hiểu, khuyến khích mọi người đọc nhe",0,other
5,Tuyệt dời ạ mong có thể học được điều gì đó từ cuốn sách.Cảm ơn shop ạ.Nên mua nhé mn,0,other
5,Ansn dndj jsjsjd dkdjdj djdjdj djdjdj đjdjdkdj dj dj dj ke,0,other
5,"đã nhận được sản phẩm, không có bọc nhựa",0,other
5,Nội dung sách rất thú vị.,0,other
5,Gói hàng kĩ. Sách nguyên vẹn.,0,other
5,"Ok, ổn",0,other
5,Sách nên mua,0,other
5,Tuyệt nha,0,other
5,có bk,0,other
5,A practical book. Highly recommend for anyone,0,other
5,Tuyệt vời ạ.,0,other
5,Tuyệt vời,0,other
5,Sách ok,0,other
5,Rất thích! Cám ơn!,0,other
5,Siêu phẩm,0,other
1,Sách cắt siêu tệ. Nhiều trang bị dính vào nhau. Thật sự cảm thấy rất tệ,0,other
3,"In thiếu trang từ 129 -> 144 (Hình đính kèm) Bong keo, rơi giấy",0,other
3,"Có vài trang bị mờ, mực ko đều. Mình chỉ chụp sơ 3 hình thôi",0,other
1,"Sai chính tả quá nhiều, làm mất cảm hứng khi đọc.",0,other
2,Gói hàng quá tệ. Sách vẫn bị móp,0,other
3,Sách bị rách và bị mực đen vương vào. Cảm thấy hơi thất vọng.,0,other
3,Khi mình nhận sách thì thấy từ trang 371 đến cuối đã bị tách rời ra khỏi sách rất là khó chịu,0,other
4,"Mép bìa hơi quăn, sầu",0,other
4,hài lòng với sản phẩm hài lòng với sản phẩm,0,other
4,"sách bị cấn góc, bám bụi",0,other
3,"Giấy in trang đậm trang nhạt, khá tệ",0,other
4,Mong shop đóng hàng cẩn thận hơn,0,other
4,hàng giống mô tả,0,other
4,Nội dung hấp dẫn,0,other
4,hữu ích,0,other
5,"Siêu phẩm đọc quá hấp dẫn không thể ngừng đọc, sách còn nguyên zin",0,other
5,mắt kính Tâm Đức quận 6 *,0,other
5,Tuyệt :),0,other
5,Có seal đầy đủ,0,other
5,nội dung sâu sắc,0,other
5,Sách bìa cứng bọc chống sốc kĩ lắm nha,0,other
5,Tuyệt mn ạ,0,other
5,Rất hài lòng,0,other
5,Sách nói về cuộc đời của Bác từ nhỏ cho đến khi Bác ra đi tìm đường cứu nước ở bến cảnh Nhà Rồng. Nên đọc nha,0,other
5,Rất là xanh luôn hehe,0,other
5,Đã nhận được hàng,0,other
2,"sách không được bọc kỹ càng, móp sách, sách dơ",0,other
5,"Cuốn này thì quá là nổi rùi, mình đã đọc bản onl rồi, mua sách để sưu tầm mà thấy thích ghê luôn á",0,other
5,Truyện rất lôi cuốn và cảm động,0,other
5,Siêu cute,0,other
4,háo hức lắm á mà nhận sách vậy thấy hơi bùn ahuhu,0,other
5,Huhu sách xinh xỉu,0,other
5,Có kèm audio sao mình k thấy nhỉ,0,other
5,I love my book,0,other
5,Hữu ích,0,other
5,Rất hài lòng.,0,other
5,Con gái tôi rất thích,0,other
5,ok ok ok ok ok nabbabanannanamammamammama,0,other
2,Nội dung sách ko phù hợp với tiêu đề sách,0,other
5,"Văn phong dễ đọc, có khá nhiều kiến thức tâm lý thú vị giúp mình có thể nhận diện những hành vi con người trong cuộc sống từ đó không bị dắt mũi.",0,other
5,hết sức bổ ích,0,other
5,Tinyurl.com/pasachreal Chuyên pass sách,0,other
5,Oke quá nè,0,other
5,Cảm ơn !,0,other
5,Bổ ích,0,other
5,"Sách thật ,chữ rõ ràng",0,other
5,Có markbok nè,0,other
5,Nội dung thú vị,0,other
5,Hài lòng,0,other
4,sách ko được bao dù đã chọn bookcare,0,other
3,"Sách viết hơi dài dòng, nếu cố gắng chắt lọc thì sẽ thêm nhiều kinh nghiệm sống áp dụng trong thực tế.",0,other
4,"Sách viết vòng vo, lý thuyết quá, đọc hơi buồn ngủ",0,other
3,"Sơ sài, lan man. Chả hiểu sao phải bắt 25 ký tự khi chỉ cần 4 từ là đủ",0,other
4,Ko thấy bọc,0,other
1,"Gói hàng k kĩ, hộp kép clg, làm bìa bị moop góc",0,other
4,Cách viết đọc không hấp dẫn lắm,0,other
3,Hơi mốp phần bìa sách.,0,other
4,Nhiều thông tin bổ ích,0,other
5,"Cuấn sách khiến mình oà khóc giữa đêm. Quá tuyệt vời. Tài năng của bác Keigo trong cách kể chuyện, liên kết các tình tiết, nhân vật, không gian và thời gian luôn khiến ta đi hết bất ngờ này đến bất ngờ. Xem thêm",0,other
5,"Nói s đây nhỉ, sự kết nối của quá khứ hiện tại và tương lai. Hãy tìm ra cho chính mk còn đường đi. Chăm chỉ nỗ lực hạnh phúc sẽ tới theo cách của riêng mk. Vì chính mk đã chọn. Lúc đọc sách t cảm thấy. Xem thêm",0,other
5,1 cuốn tiểu thuyết giả tưởng tuyệt vời vs những liên kết đầy logic và mạnh mẽ trong cốt truyện. Tác giả đã khéo léo lồng ghép thời gian giữa hiện tại và quá khứ để hé lộ dần những bí ẩn về tiệm tạp hoá. Xem thêm,0,other
5,"Sách mình nhận hơi bị cong bìa phía sau một chút. Chữ in sắc nét, giấy mịn",0,other
5,"nội dung hấp dẫn, lôi cuốn, màu in rõ nét",0,other
5,"Nội dung hấp dẫn. Cách kể chuyện, liên kết các tình tiết, nhân vật, không gian và thời gian luôn khiến ta đi hết bất ngờ này đến bất ngờ khác.",0,other
5,Sách khá dày bìa thiết kế xinh nói chúng mọi thứ đều xuất sắc!,0,other
5,"Một cuốn sách chữa lành, nhẹ nhàng mà sâu sắc, rất đáng để đọc",0,other
5,"Đây là cuốn sách cho tớ rất là nhiều đọc lực, mong là mọi người sẽ đọc được nó và tìm xa kim chỉ nam cho cuộc đời mình",0,other
4,"Nhẹ nhàng, đọc quyển này xong mình kiểu nghĩ ngay đến khung cảnh mình được ngồi cùng ông bà vào buổi đêm ở quê, nghe ông bà kể chuyện ý, dễ chịu, nhẹ nhàng",0,other
5,"Cảm ơn Tiki, mình nhận được sách nhanh, bao bọc cẩn thận. Về nội dung, cá nhân mình cho cuốn sách này 10/10. Đây là cuốn sách rất đáng để đọc, phù hợp với tất cả mộ lứa tuổi. Thông điệp đầy tính nhân văn, sâu sắc và ý nghĩa. Thu gọn",0,other
5,Đọc thử vài trang đầu xem hợp với mình không nhé.,0,other
5,ko có gì chê luon ạ,0,other
5,"Một quyển sách giúp ta hiểu rõ hơn về tâm lý của con người khi đứng trước một ngã rẽ quan trọng của cuộc đời. Trong khi chúng ta đang bị cuốn vào diễn biến của truyện, thì cái kết bất ngờ mang đến một cảm xúc hạnh phúc tuyệt vời. Thu gọn",0,other
5,"thích keigo lắmm, thích cả sách trinh thám và cuốn kỳ ảo này của ông, bìa xinh vl",0,other
5,"Đọc xong cuốn sách mà thấy hối hận, hối hận vì sao mình không đọc tác phẩm này sớm hơn đọc xong mà mê quá luôn",0,other
5,"Cuốn này đọc hút cực kỳ luôn!! Mình đã dành nguyên 3 tiếng buổi tối để hoàn thành nó. Điểm thu hút mình ở cuốn sách này là các nút thắt truyện, tưởng không liên quan mà liên quan không tưởng, rất bất ngờ và thú vị. Mình đọc cuốn này lần đầu tiên là hơn 1 năm trước, lúc đó mình chẳng mấy khi đọc sách, vậy mà có thể đọc xong 1 lèo. Nên quyển sách này rất xứng đáng để thử nha! Thu gọn",0,other
5,rất đam mê & yeu thich,0,other
5,"Mọi thứ đều ổn trừ khoản gói sách, tệ thật sự…",0,other
5,"Nội dung khá là lôi cuốn,hấp dẫn một thế giới kì ảo và huyền bí và hơn hết cả là một cái kết ngọt.",0,other
5,cảm ơn tiki nhiều,0,other
5,"Một câu chuyện hấp dẫn, giọng văn mộc mạc, gần gũi",0,other
5,"Nội dung sách hấp dẫn, ý nghĩa, mọi người nên mua đọc thử 1 lần",0,other
5,"Không phải truyện trinh thám mà là một câu chuyện giản dị, gần gũi, có phần nào đó yếu tố kỳ bí. Đọc xong ngẫm ra được nhiều điều đơn giản trong cuộc sống mà mình bỏ quên. Rất đáng đọc nhé mọi người!",0,other
5,"Xinh, đợi đọc để cảm nhận nỗi buồn",0,other
5,Một tác phẩm tuyệt vời và đầy ý nghĩa,0,other
5,Đã đọc xong một cuốn sách rất nhân văn!,0,other
5,"Rất cuốn, mình đọc 3 lần là xong luôn, đọc đến phần giữa là không thể dứt ra được.",0,other
5,"Nội dung lôi cuốn, các câu truyện được liên kết rất chặt chẽ",0,other
5,"Nội dung thú vị, xem review chi tiết trong hình nha Instagram: For_anie",0,other
5,"Mình mua theo lời giới thiệu của bạn, hy vọng sẽ hợp",0,other
5,Đọc xong cảm thấy mindblown. Nể phục cách tác giả kết nối những mẩu chuyện tưởng chừng không liên quan đến nhau.,0,other
5,Đúng là kì diệu. Thực sự rất ấn tượng,0,other
5,"Một quyển sách nên đọc, sự kỳ diệu của tiệm sách, sự gắn kết vô tình của các nhân vật, đều liên quan đến tiệm sách.",0,other
5,"rất là thíchh, gói hàng rất nà ok lun",0,other
5,Sách k có màn co. Bị cuốn bìa,0,other
5,"khá thích vì size cầm vừa tay, mọi thứ đều vừa đủ nên hài lòng",0,other
5,Đọc cuốn từ lần đầu mở sách,0,other
5,Giọng văn nhẹ nhàng và mình được giới thiệu. Rất hợp gu mình,0,other
5,In ấn sắc nét,0,other
5,"Cách kể chuyện rất lôi cuốn, khiến người đọc cảm thấy bất ngờ",0,other
5,Mình rất hài lòng cảm ơn shop nhé,0,other
5,hơi thất vọng là kh có bọc kĩ từng quyển và còn có nếp nhăn,0,other
5,Gói hàng cẩn thận! Mong chờ vào câu chuyện ạ!,0,other
5,"Sản phẩm tuyệt vời, được nhiều đọc giả biết đến!!",0,other
5,"Lối kể chuyện lồng ghép các mạch thời gian siêu cuốn, huhu thích cực ?",0,other
5,Cực kỳ hài lòng.,0,other
5,Một cuốn sách thú vị và nhẹ nhàng.,0,other
5,Thích đọc sách nên mua thui ^^,0,other
5,"Truyện li kì hấp dẫn, nội dung nhân văn, tích cực",0,other
5,"Nội dung hấp dẫn, rất đáng đọc!",0,other
5,Quyển đầu tiên mình đọc của Higashino Keigo,0,other
5,Tuyệt vời.,0,other
5,"Đọc cuốn dã man í, cuốn sách này mang năng lượng chữa lành rất lớn",0,other
5,"Nội dung dễ đọc, chữa lành, sâu sắc",0,other
5,"Bạn mình khen quyển này lắm, nên mình mua",0,other
5,"Một câu chuyện càng đọc càng bất ngờ, thú vị.",0,other
5,Vẫn là Higashi keigo với giọng văn thấm tận tim và sự khéo kéo tuyệt vời khi đan xen các tình tiết,0,other
5,Tình tiết bất ngờ,0,other
5,"sách nguyên vẹn, dù không có seal",0,other
5,"Nội dung xuất sắc, k còn gì bàn cãi",0,other
5,Sách điệp lắm,0,other
5,keigo bất hủ,0,other
5,"truyện chuẩn gu mình luôn ấy, đọc cuốn dã man",0,other
5,"Câu chuyện hấp dẫn, lôi cuốn",0,other
5,Một cuốn truyện tuyệt vời. Mọi sự kiện và con người đều được kết nối với tiệm tạp hóa Namiya một cách kỳ diệu,0,other
5,"Nội dung cuốn hút và plot twist đỉnh, các sự việc liên quan với nhau đến ko ngờ",0,other
5,In ấn tuyệt vời.,0,other
4,"Mình tính cho 4 sao, cơ mà sau khi đọc sách thấy tuyệt vời nên +1 sao nữa nhen",0,other
5,"nội dung tuyệt vời, mình cứ bị cuốn theo tình tiết hấp dẫn trong truyện",0,other
5,"Sách đến tay mình không bị cong, rất ưng ý. Cuốn này khá dễ đọc, rất recommend cho mng trong mùa dịch này.",0,other
5,"Nội dung hấp dẫn, cách kể chuyện nhẹ nhàng",0,other
5,Sách cầm trên tay rất ưng,0,other
5,Mình rất thích truyện này!!,0,other
5,sao không bao bọc sách vậy?,0,other
5,rất hài lòng ?,0,other
5,mh rất thik các tp của bác keigo,0,other
5,"Đọc xong thấy điều kỳ diệu trong cách sắp xếp của bác Keigo. Nhẹ nhàng, hạnh phúc",0,other
5,Nội dung khá hấp dẫn,0,other
5,"Một cuốn sách về chủ đề du hành thời gian đặc sắc. Lối kể chuyện của tác giả, nút thắt và mở được cài cắm đan xen, dẫn người đọc đi từ bất ngờ này đến bất ngờ khác!",0,other
5,"5 câu chuyện riêng biệt, mỗi câu chuyện là 1 nỗi trăn trở. Điều thú vị là cả 5 câu chuyện đều liên kết với nhau.",0,other
5,"vẫn là cuốn sách mình rất thích, mua tặng quà",0,other
5,Sách được bảo quản kỹ càng,0,other
5,Tuyệt vời. Một cuốn sách phải đọc nhiều lần,0,other
5,Đúng kiểu sách healing luôn ý và đọc xong mình rút ra được nhiều bài học,0,other
5,Quá là ưng,0,other
5,"Một trong những quyển sách khiến mình vừa vui vẻ, vừa ngỡ ngàng và vừa cảm động.",0,other
5,"Luôn bất ngờ với trí tưởng tượng không giới hạn của tác giả. Nên đọc hết Bạch dạ hành, Bí mật của Naoko, Phía sau nghi can X luôn nhe!",0,other
5,1 quyển sách vô cùng đáng mua,0,other
5,Tôi rất hài lòng,0,other
5,thật sự dễ đọc. cách kể chuyện nhẹ nhàng dẫn dắt khéo léo các sự việc và nhân vật đều đc tác giả xâu chuỗi gắn kết một cách rất logic,0,other
5,sách oke lắm nha m.n. Tặng 5*,0,other
5,Đỉnh của đỉnh luôn ạ! Truyện này đã đưa mình đến với tác giả!! Mình vừa đặt mua thêm 1 đống truyện của tác giả huhu,0,other
5,Tác phẩm của bác keigo nên thích :)),0,other
5,Nice đọc quên khái niệm thời gian luôn:)),0,other
5,Đúng là kiệt tác của Keigo nên đọc,0,other
5,"tuyệt vời nha mọi người ơi, hàng gói cx bình thg nhg sách về kh bị nát",0,other
5,Được tặng thêm bao sách,0,other
5,Truyện đọc khá logic và nhẹ nhàng,0,other
5,Hài lòng!,0,other
5,Highly recommend,0,other
5,Cả về hình thức lẫn nội dung đều xuất sắc,0,other
5,"Một cuốn sách thú vị, lôi cuốn, mình đọc liên tục trong vòng 4 tiếng mà không dứt ra được.",0,other
5,Sự liên kết được thể hiện gây đáng ngạc nhiên và nể phục cho ng đọc,0,other
5,Sách đọc rất cuốn ! Cái kết khá bất ngờ !,0,other
5,Sách healing ! Đọc siêu cuốn,0,other
5,Mua lần 3 để tặng bạn rùi. Thích mê!,0,other
5,"5/5 truyện nhẹ nhàng, đủ hấp dẫn.",0,other
5,amazing good job luôn tiki,0,other
5,Đọc xong sách cảm thấy rất ấm áp vì được tiếp thêm niềm tin yêu cuộc sống!,0,other
5,một cuốn sách tuyệt vời,0,other
5,"Mình nghĩ đây là một cuốn sách nhẹ nhàng, cuốn hút và rất nhân văn.",0,other
5,Tuyệt vời. Mua về đọc ngay nhé. Cám in tiki.,0,other
5,100 sao lun,0,other
5,nội dung cuốn hút,0,other
5,Rất đáng để đọc nha mọi người,0,other
5,Mua tặng bạn và siêu hài lòng. Cảm ơn Tiki nhiều,0,other
5,"Một cuốn sách tuyệt vời, mang tính liên kết chặt chẽ. Rất đáng để đọc",0,other
4,Câu chuyện rất lôi cuốn và có tính logic,0,other
5,Nên bọc thêm 1 lớp nữa cả ướt sách,0,other
5,sách gói hơi ẩu mà hên không bị trầy xướt gì nhiều ạ,0,other
5,"Một quyển sách dễ đọc, thú vị, nhẹ nhàng đọc một mạch đến hết",0,other
5,Rất thích truyện bác Keigo,0,other
5,"Ừm, tuyệt",0,other
5,"Must read, and I won’t spoil anything, just read it!",0,other
5,U là trời xinh lắm ạ,0,other
5,quà tặng cr,0,other
5,"Đọc bị cuốn á, có nhiều đoạn rất cảm động",0,other
5,hoàn hảo,0,other
5,Bọc cẩn thận,0,other
5,Rất đáng để mua đọc,0,other
5,cuốn lắm lun,0,other
5,Sách ý nghĩa,0,other
5,cuốn sách này thực sự phải đọc,0,other
5,tuyệt vời,0,other
5,mình thích lắm,0,other
5,mình hài lòng lắm lun,0,other
5,Bánh cuốn lắm các bác ạ.,0,other
5,quả nhiên là Keigo !,0,other
5,Một tác phẩm tuyệt vời!,0,other
5,Sách được gói kĩ,0,other
5,thần kỳ vck,0,other
5,Sách okay k vấn đề gì,0,other
5,huolmvd gị b,0,other
5,Một trong những tác phẩm xuất sắc nhất của tác giả Keigo,0,other
5,Vẫn đang đọc và rất hài lòng,0,other
5,Thú vị,0,other
5,Mình rất thích,0,other
5,cảm ơn Tiki.,0,other
5,nice book,0,other
5,"Rất nhân văn, lý thú",0,other
5,Cuốn sách vô cùng thú vị và đầy bất ngờ,0,other
5,"Lôi cuốn, khiến ta không thể dứt ra khỏi được những con chữ ?",0,other
5,trên cả tiyeetj vời,0,other
5,Một câu chuyện rất rất thú vị và đáng đọc,0,other
5,Ko bọc,0,other
5,Sách khá nhẹ nhàng của tác giả này!,0,other
5,bìa siêu xinh đọc cuốn cực,0,other
5,Tác phẩm đầu tay mình đọc của bác keigo,0,other
5,Đáng để đọc,0,other
5,hài lòng,0,other
5,clg tot,0,other
5,Cực thích,0,other
5,Đây là quyển sách mình thích nhất của Higashino keigo,0,other
5,ờ mây * gút chóp luôn e ơii,0,other
5,sách nhẹ nhàng,0,other
5,thật sự đáng đọc,0,other
5,Tuyệt phẩm nha các bác,0,other
5,Nhạt mà,0,other
5,"Tuyệt phẩm, đọc xong thấy yêu đời hơn hẳn, ;)",0,other
5,10 diem,0,other
5,"Một tác phẩm tuyệt vời, vô cùng đáng đọc.",0,other
5,sách bị lõm 1 ít hơi buồn,0,other
5,truyện rất lôi cuốn,0,other
5,"đóng gói kĩ, sách đẹp, nội dung đọc sơ rất hấp dẫn, mang phong phú",0,other
5,Sách ổn Sách ổn Sách ổn Sách ổn,0,other
5,Đọc khá thấm và có nhiều suy nghĩ,0,other
5,Cuốn sách bí ẩn và rất thú vị!,0,other
5,Khá thú zị. Rất đáng đọc á nha mn,0,other
5,rất ok,0,other
5,Câu chuyện rất ý nghĩa,0,other
5,Truyện nhẹ nhàng mà đầy bất ngờ,0,other
5,Xuất sắc,0,other
5,Hài lòng !,0,other
5,Quá xuất sắc,0,other
3,"bị móp sách rùi, ko có bookmark .",0,other
5,i like it,0,other
2,"Sách bao không ky cho mình bị hở miệng, mong tiki bao kỹ hơn",0,other
1,sách mất trang rất nhiều. Tiki giải quyết giúp mình,0,other
4,Gáy sách lệch,0,other
