reviews,sentiment,aspect,aspect_codes_list,type_product
"sách rất hay . dựa trên nghiên_cứu , và có hướng_dẫn cách thực_hiện cụ_thể . đọc rất lôi_cuốn và thực_tế . một_vài chi_tiết mình thấy đã thực_hành rất hiệu_quả . bạn nào muốn thay_đổi thói_quen bản_thân mà chưa được , nên đọc ngay và luôn nhé",5,[2],[2],0
nội_dung sách quá hay rất đơn_giản và dễ áp_dụng cuộc_đời mỗi người được định_hình bởi các thói_quen nên các bạn hãy đọc sách này để xây_dựng những thói_quen tốt cho cuộc_đời mình mình đã ghi_chú rất nhiều và soạn riêng 1 slide để xem_lại khi cần_thiết sách phải đọc nha cả nhà,5,[2],[2],0
"quyển này hay mà tác_giả viết rất dễ đọc nha người dịch dịch cũng rất thuần việt , chất_lượng giấy cũng rất tốt , 10 điểm ! à sách có tóm_tắt cuối chương nhé",5,[2],[2],0
"dạo này thói_quen xấu lại bủa_vây nên tôi quyết_định mua cuốn này , được cái tiki sale cũng ổn nên mua mấy cuốn nữa mà rẻ lắm , vì sách bọc trong giấy_bóng mà_lại giao hàng cẩn_thận nữa nên sách mới nguyên_hình_thức 100 mới bão yagi xong nên tôi rất lo sách bị làm_sao nhưng mà ngoài sức mong_đợi sách đã về đến tay chủ_nhân an_toàn , ôi cái mùi sách mới nói mãi không hết ngửi cả ngày không biết chán , tôi lại hứa sẽ đọc và giữ_gìn sách cẩn_thận , sẽ áp_dụng những điều sách đã răn_dạy để tôi có thêm kinh_nghiệm có thêm niềm tin vào cuộc_sống có biết_bao chông_gai khó_nhọc này , để thói_quen xấu bớt bủa_vây tôi để tôi có_thể sống tiếp những tháng_ngày bình_yên . xin cảm_ơn",5,"[2, 3, 4]","[2, 3, 4]",0
"tiki giao thần_tốc , mình đặt 1h sáng giao chiều cùng ngày , chất_lượng sản_phẩm thì khỏi phải bàn , giá_cả có_thể cao hơn các nền_tảng khác một_chút nhưng đổi lại dịch_vụ tuyệt_vời cuốn này mình thấy nhiều người reviews hay nên mua , chưa đọc nên chưa đánh_giá được nội_dung , hy_vọng những kiến_thức trong sách sẽ hữu_ích với mình",5,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
một cuốn sách tuyệt_vời . nhưng thay_đổi rất nhỏ nhưng qua thời_gian lại tạo nên một chuyển_biến vô_cùng lớn . giống như việc thay_đổi hướng đi chỉ 1 độ nhưng đi càng dài thì lại càng xa con đường cũ . hay ...,5,[2],[2],0
"mình thấy quyển này rất bổ_ích đối_với những bạn đang muốn cải_thiện lối sống của bản_thân . nội_dung cũng cuốn nữa , các quy_tắc thực_hành để hình_thành thói_quen tốt cũng rất hiệu_quả đối_với mình . không ...",5,[2],[2],0
trước giờ đọc mấy cuốn sách self help mang tính_chất đọc cho biết chứ thấy cũng không có tác_dụng lắm . nhưng riêng cuốn này đối_với mình rất có tác_dụng nhé . nếu những khi định trì_hoãn thói_quen thì lại ...,5,[2],[2],0
nội_dung sách hay . chưa lần nào mua tiki mà thất_vọng cả . sách mới mới cả hình_thức và vừa_mới xuất_bản 7.2022 . giao nhanh siêu cấp thiên_hà chưa đầy 12 tiếng . người giao hàng thân_thiện,5,"[2, 4]","[2, 4]",0
"thói_quen con_người bắt người từ tín_hiệu thèm_muốn phần_thưởng thoả_mãn . từ đó để duy_trì thói_quen tốt cần phải tăng phần_thưởng và thoả_mãn , làm cho nó dễ xảy ra , để hạn_chế thói_quen xấu cần ...",5,[2],[2],0
