sentiment,reviews,type_product,aspect
5,"Sách rất hay. Dựa trên nghiên cứu, và có hướng dẫn cách thực hiện cụ thể. Đọc rất lôi cuốn và thực tế. Một vài chi tiết mình thấy đã thực hành rất hiệu quả. Bạn nào muốn thay đổi thói quen bản thân mà chưa được, nên đọc ngay và luôn nhé Thu gọn",0,quality
5,Nội dung sách quá hay Rất đơn giản và dễ áp dụng cuộc đời mỗi người được định hình bởi các thói quen Nên các bạn hãy đọc sách này để xây dựng những thói quen tốt cho cuộc đời mình Mình đã ghi chú rất nhiều và soạn riêng 1 slide để xem lại khi cần thiết sách phải đọc nha cả nhà Thu gọn,0,quality
5,"Quyển này hay mà tác giả viết rất dễ đọc nha người dịch dịch cũng rất thuần việt, chất lượng giấy cũng rất tốt , 10 điểm ! À sách có tóm tắt cuối chương nhé",0,quality
5,"Dạo này thói quen xấu lại bủa vây nên tôi quyết định mua cuốn này, được cái tiki sale cũng ổn nên mua mấy cuốn nữa mà rẻ lắm, vì sách bọc trong giấy bóng mà lại ship cẩn thận nữa nên sách mới nguyên hình thức 100 Mới bão Yagi xong nên tôi rất lo sách bị làm sao nhưng mà ngoài sức mong đợi sách đã về đến tay chủ nhân an toàn, ôi cái mùi sách mới nói mãi không hết ngửi cả ngày không biết chán, tôi lại hứa sẽ đọc và giữ gìn sách cẩn thận, sẽ áp dụng những điều sách đã răn dạy để tôi có thêm kinh nghiệm có thêm niềm tin vào cuộc sống có biết bao chông gai khó nhọc này, để thói quen xấu bớt bủa vây tôi để tôi có thể sống tiếp những tháng ngày bình yên. Xin cảm ơn Thu gọn",0,"ship, quality, price"
4,"Tiki giao thần tốc, mình đặt 1h sáng giao chiều cùng ngày, chất lượng sản phẩm thì khỏi phải bàn, giá cả có thể cao hơn các nền tảng khác một chút nhưng đổi lại dịch vụ tuyệt vời Cuốn này mình thấy nhiều người reviews hay nên mua, chưa đọc nên chưa đánh giá đc nội dung, hy vọng những kiến thức trong sách sẽ hữu ích với mình Thu gọn",0,"ship, quality, price, cskh"
5,Một cuốn sách tuyệt vời. Nhưng thay đổi rất nhỏ nhưng qua thời gian lại tạo nên một chuyển biến vô cùng lớn. Giống như việc thay đổi hướng đi chỉ 1 độ nhưng đi càng dài thì lại càng xa con đường cũ. Hay.,0,"quality, price"
5,"Mình thấy quyển này rất bổ ích đối với những bạn đang muốn cải thiện lối sống của bản thân. Nội dung cũng cuốn nữa, các quy tắc thực hành để hình thành thói quen tốt cũng rất hiệu quả đối với mình. Không.",0,quality
5,Trước giờ đọc mấy cuốn sách self help mang tính chất đọc cho biết chứ thấy cũng ko có tác dụng lắm. Nhưng riêng cuốn này đối với mình rất có tác dụng nhé. Nếu những khi định trì hoãn thói quen thì lại.,0,quality
5,Nội dung sách hay. Chưa lần nào mua tiki mà thất vọng cả. Sách mới mới cả hình thức và vừa mới xuất bản 7.2022. Giao nhanh siêu cấp thiên hà chưa đầy 12 tiếng. Shipper thân thiện,0,"ship, quality"
5,"Thói quen con người bắt người từ tín hiệu thèm muốn phần thưởng thoả mãn. Từ đó để duy trì thói quen tốt cần phải tăng phần thưởng và thoả mãn, làm cho nó dễ xảy ra, để hạn chế thói quen xấu cần.",0,quality
